rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
193,21263,Trenton Irwin,CIN,WR,3,15,0,23.9,27.4,6.2,62,8.8,21,10,6,5,5.0,3.9,0.5
194,25304,Casey Washington,ATL,WR,1,14,0,0.9,1.4,18.0,36,4.0,36,2,0,0,7.5,0.6,1.2
195,25040,Javon Baker,NE,WR,1,12,0,9.4,11.4,12.5,50,4.5,50,4,0,0,5.0,1.2,0.6
196,21760,Isaiah Hodgins,NYG,WR,2,12,0,19.3,24.3,5.5,11,3.7,6,2,0,0,8.8,2.0,1.6
197,24331,Grant DuBose,MIA,WR,2,11,0,21.0,23.2,11.8,47,15.7,24,4,0,0,5.0,3.6,0.8
198,19064,Trent Taylor,SF,WR,1,11,0,2.4,1.4,0.0,0,0.0,0,1,0,0,7.5,1.4,2.1
199,23763,Brandon Johnson,PIT,WR,1,9,0,9.7,10.1,5.0,5,1.7,5,1,0,0,7.5,1.2,1.9
200,23996,Kendric Pryor,CIN,WR,1,9,0,0.0,0.0,0.0,0,0.0,0,1,0,0,10.0,1.2,1.9
201,25132,Jha'Quan Jackson,TEN,WR,1,8,0,2.9,5.8,26.0,78,6.5,78,3,0,0,5.0,0.9,-0.2
202,23481,Velus Jones Jr.,CAR,WR,1,8,0,3.1,4.5,-5.0,-5,-1.7,-5,1,0,0,7.5,1.3,2.9
203,25498,Ramel Keyton,LV,WR,1,7,0,7.2,6.8,10.0,30,3.8,30,3,1,1,5.0,1.0,0.6
204,21730,Collin Johnson,CHI,WR,1,6,0,1.5,3.5,8.0,16,2.0,16,2,0,0,7.5,0.7,0.8
205,22596,Jaelon Darden,SEA,WR,1,6,0,3.0,3.0,-3.0,-3,-0.3,-3,1,0,0,7.5,0.2,1.6
206,18881,John Ross,PHI,WR,1,6,0,0.0,0.0,0.0,0,0.0,0,2,0,0,5.0,6.9,0.8
207,24743,Xavier Smith,LAR,WR,2,6,0,1.0,1.9,0.5,1,0.1,1,2,0,0,7.5,0.4,3.1
208,25205,Isaiah Williams,CIN,WR,2,6,0,0.0,0.0,0.0,0,0.0,0,3,0,0,5.0,1.1,0.9
209,24220,Tyler Scott,CHI,WR,1,5,0,1.2,1.7,-2.0,-2,-0.2,-2,1,0,0,7.5,0.3,1.5
210,24122,Charlie Jones,CIN,WR,1,5,0,5.7,5.2,5.0,5,0.6,5,1,0,0,7.5,0.4,5.5
211,18187,Robbie Chosen,MIA,WR,1,5,0,18.9,16.9,0.0,0,0.0,0,4,0,0,0.0,5.6,0.0
212,22637,Brandon Smith,NYJ,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
213,23163,Justyn Ross,KC,WR,0,0,0,5.3,4.6,10.0,10,5.0,,1,1,1,2.5,1.2,0.0
214,21163,Deonte Harty,BAL,WR,0,0,0,2.1,1.8,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
215,21400,Steven Sims,BAL,WR,0,0,0,1.8,1.4,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
216,22614,Kadarius Toney,CLE,WR,0,0,0,1.8,3.8,0.0,0,0.0,,1,0,0,2.5,0.7,-0.4
217,21556,Tom Kennedy,DET,WR,0,0,0,3.9,3.3,11.0,11,2.8,,1,0,0,2.5,0.7,0.0
218,17914,Laquon Treadwell,IND,WR,0,0,0,6.3,5.6,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
219,18030,Chris Moore,ARI,WR,0,0,0,4.7,7.7,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
220,23325,Erik Ezukanma,MIA,WR,0,0,0,5.5,6.9,0.0,0,0.0,,2,0,0,2.5,3.4,0.0
221,19172,Zach Pascal,ARI,WR,0,0,0,2.8,6.0,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
222,20398,Equanimeous St. Brown,NO,WR,0,0,0,21.7,22.4,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
223,23642,Jalen Virgil,BUF,WR,0,0,0,2.5,5.5,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
224,22591,Dez Fitzpatrick,LAC,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
225,24073,Maurice Alexander,DET,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
226,25032,Xavier Weaver,ARI,WR,0,0,0,46.3,46.0,19.5,39,19.5,,2,0,1,5.0,3.1,0.0
227,24199,Bryce Ford-Wheaton,NYG,WR,0,0,0,0.0,0.3,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
228,24598,Jared Wayne,HOU,WR,0,0,0,7.9,10.3,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
229,25313,Joshua Cephus,JAX,WR,0,0,0,12.5,8.6,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
230,24755,Elijah Cooks,JAX,WR,0,0,0,5.3,8.1,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
231,23168,Skyy Moore,KC,WR,0,0,0,14.1,18.4,6.0,18,3.0,,3,0,0,5.0,1.7,0.0
232,23467,Jalen Cropper,DAL,WR,0,0,0,21.9,18.6,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
233,23604,Montrell Washington,KC,WR,0,0,0,5.1,2.9,0.0,0,0.0,,0,0,0,,0.0,0.0
234,25511,Jaylen Johnson,LAC,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
235,18197,Alex Erickson,NE,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
236,20038,Braxton Berrios,MIA,WR,0,0,0,32.7,29.2,6.5,26,4.3,,4,1,1,2.5,2.3,0.0
237,25039,Roman Wilson,PIT,WR,0,0,0,3.7,7.7,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
238,21725,Trishton Jackson,MIN,WR,0,0,0,6.5,7.1,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
239,23765,Tyreik McAllister,LV,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
240,25642,Kameron Johnson,TB,WR,0,0,0,11.7,15.2,3.0,3,0.6,,1,1,1,7.5,0.7,1.1
241,20963,Cody Thompson,TB,WR,0,0,0,4.0,3.8,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
242,23624,Dareke Young,SEA,WR,0,0,0,0.9,2.0,9.0,9,0.6,,1,0,0,2.5,0.2,0.0
243,21750,Marquez Callaway,TB,WR,0,0,0,1.6,1.7,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
244,23962,Irvin Charles,NYJ,WR,0,0,0,0.4,1.1,3.0,3,0.2,,1,1,1,5.0,0.2,0.0
245,22595,Ihmir Smith-Marsette,NYG,WR,0,0,0,0.7,0.7,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
246,25370,Jermaine Jackson,NO,WR,0,0,0,0.0,1.5,0.0,0,0.0,,0,0,0,,0.0,0.0
247,25101,Brenden Rice,LAC,WR,0,0,0,2.1,1.8,0.0,0,0.0,,0,0,0,0.0,0.0,0.0
248,24296,Brycen Tremayne,WAS,WR,1,-2,0,2.8,3.5,-2.0,-2,-1.0,-2,1,0,0,7.5,1.6,0.8
249,23917,Kaden Davis,CLE,WR,,,,,,,,,,,,,,,
250,23659,Tay Martin,TEN,WR,,,,,,,,,,,,,,,
