rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
127,24221,Justin Shorter,LV,TE,0,0,0,5.0,4.6,0.0,0,0.0,,0,0,0,,0.0,0.0
128,15974,Jordan Matthews,CAR,TE,0,0,0,11.2,10.9,16.0,16,4.0,,1,0,0,5.0,1.0,0.0
129,23621,Nick Muse,MIN,TE,0,0,0,2.3,6.1,0.0,0,0.0,,0,0,0,,0.0,0.0
130,25123,Jack Westover,NE,TE,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
131,23889,Thomas Odukoya,TEN,TE,0,0,0,0.0,0.5,0.0,0,0.0,,0,0,0,,0.0,0.0
132,21800,Mitchell Wilcox,NE,TE,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
133,16917,C.J. Uzomah,PHI,TE,0,0,0,6.5,21.4,0.0,0,0.0,,0,0,0,,0.0,0.0
134,24211,Zack Kuntz,NYJ,TE,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
135,23101,Parker Hesse,DET,TE,0,0,0,8.6,16.2,0.0,0,0.0,,0,0,0,,0.0,0.0
136,25014,Tanner McLachlan,CIN,TE,0,0,0,1.1,2.1,0.0,0,0.0,,0,0,0,,0.0,0.0
137,22524,James Mitchell,DET,TE,0,0,0,15.2,29.9,0.0,0,0.0,,0,0,0,,0.0,0.0
138,24718,Brady Russell,SEA,TE,0,0,0,1.4,3.8,0.0,0,0.0,,0,0,0,,0.0,0.0
139,25674,Colson Yankoff,WAS,TE,,,,,,,,,,,,,,,
140,22407,Tyler Mabry,SEA,TE,,,,,,,,,,,,,,,
141,24738,John Samuel Shenker,LV,TE,,,,,,,,,,,,,,,
142,24021,Tucker Fisk,LAC,TE,,,,,,,,,,,,,,,
