rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
206,22521,Jeremy Ruckert,TE,NYJ,0,3,2,2,0,3,0,3,1,2,2,,2,1,3,2,0,2,3.6,1.3,3,4,4.6,1.6,18,28
207,19854,Dante Pettis,WR,NO,,,,,,,,,,1,1,,2,2,5,7,4,6,15.7,5.7,7,17,10.7,3.5,12,28
208,20899,Josh Oliver,TE,MIN,2,0,1,2,0,,1,2,5,6,3,,,2,0,1,0,3,3.4,1.3,2,4,5.8,1.9,22,28
209,19626,Dare Ogunbowale,RB,HOU,1,2,2,4,7,0,1,1,3,0,1,0,0,,0,2,1,3,6.1,2.0,3,6,4.9,1.6,19,28
210,24311,Jaleel McLaughlin,RB,DEN,5,0,1,1,4,2,0,1,3,0,0,1,2,,3,,2,2,6.7,2.0,4,4,5.1,1.7,24,27
211,21784,Zack Moss,RB,CIN,4,1,6,4,4,1,3,4,,,,,,,,,,,10.8,4.0,0,0,10.3,3.4,23,27
212,20013,Cedrick Wilson Jr.,WR,NO,0,0,1,0,0,3,7,,3,,0,,1,1,1,1,4,5,9.3,3.3,7,10,5.6,1.8,20,27
213,24934,Braelon Allen,RB,NYJ,1,4,3,1,2,2,1,0,1,1,0,,2,5,0,1,0,3,3.6,1.3,3,4,4.4,1.6,19,27
214,19165,Johnny Mundt,TE,MIN,3,3,3,2,2,,5,2,1,0,1,1,2,0,1,0,1,0,0.8,0.3,1,1,4.9,1.6,19,27
215,25409,Mason Tipton,WR,NO,1,0,3,1,4,2,9,2,3,0,,,,,,1,,,3.3,1.0,0,1,7.6,2.4,14,26
216,24347,Xavier Hutchinson,WR,HOU,1,1,1,0,3,2,1,1,3,4,0,1,,,1,1,4,2,7.1,2.3,4,7,4.9,1.6,12,26
217,18883,JuJu Smith-Schuster,WR,KC,1,0,3,0,8,,0,,,,1,2,1,2,3,1,2,2,5.2,1.7,3,5,5.5,1.9,18,26
218,23136,Darnell Washington,TE,PIT,1,1,0,2,2,1,4,1,,3,4,3,1,1,0,0,1,0,1.0,0.3,1,1,5.0,1.5,19,25
219,23190,Brian Robinson Jr.,RB,WAS,4,3,1,3,0,,0,1,,,1,2,1,,3,3,2,1,5.7,2.0,5,6,5.8,1.8,20,25
220,20837,Ty Johnson,RB,BUF,1,2,3,0,0,0,1,1,0,3,1,,1,3,5,1,1,2,4.5,1.3,2,4,4.8,1.5,18,25
221,20941,Devin Singletary,RB,NYG,5,1,4,1,,,1,3,0,1,,2,1,0,3,0,1,1,2.2,0.7,2,2,4.7,1.6,21,24
222,19017,Josh Reynolds,WR,JAX,8,5,2,2,2,,,,,,,,,,1,1,0,3,4.3,1.3,1,4,7.9,2.7,13,24
223,24987,Luke McCaffrey,WR,WAS,3,0,3,1,3,1,0,2,0,3,1,1,2,,1,3,0,0,2.8,1.0,1,3,4.6,1.4,18,24
224,24449,Elijah Higgins,TE,ARI,2,1,1,3,1,0,1,2,2,2,,2,2,0,1,1,3,0,3.5,1.3,2,4,4.4,1.4,20,24
225,20506,Tanner Hudson,TE,CIN,3,,,,,0,1,0,3,7,2,,4,1,1,,,1,2.2,1.0,1,1,5.4,2.1,19,23
226,23650,Lucas Krull,TE,DEN,,,,,1,4,4,2,1,2,0,0,3,,2,3,1,0,4.0,1.3,4,4,5.3,1.8,19,23
227,17217,Raheem Mostert,RB,MIA,3,,,,2,,0,2,2,3,0,1,3,,3,2,2,0,4.0,1.3,4,4,5.1,1.8,19,23
228,18422,Kalif Raymond,WR,DET,0,4,0,1,,6,4,2,1,0,2,1,,,,,,1,3.0,1.0,1,1,6.3,1.8,17,22
229,17959,Derrick Henry,RB,BAL,2,1,1,3,1,0,1,1,1,1,0,0,3,,0,2,2,3,9.7,2.3,6,7,4.6,1.3,19,22
230,25208,Erick All Jr.,TE,CIN,0,4,4,4,2,3,1,2,2,,,,,,,,,,5.1,2.0,0,0,7.3,2.4,20,22
231,22562,Kenneth Gainwell,RB,PHI,1,0,3,1,,1,1,1,1,1,1,0,0,2,3,1,1,4,6.8,2.0,4,6,4.9,1.3,16,22
