rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
63,18047,Demarcus Robinson,LAR,WR,64,31,505,7,4.3,1.1,93.9,13,4,30.8,16.3,7.9,1.0,1,1.6
64,21142,Olamide Zaccheaus,WAS,WR,64,45,506,3,5.7,2.2,90.0,7,3,42.9,11.2,7.9,1.9,4,6.2
65,16906,Stefon Diggs,HOU,WR,64,47,496,3,5.0,1.8,95.9,4,0,0.0,10.6,7.8,1.9,1,1.6
66,21077,Diontae Johnson,HOU,WR,63,31,363,3,4.8,1.2,93.9,19,6,31.6,11.7,5.8,1.6,1,1.6
67,22602,Tutu Atwell,LAR,WR,62,42,562,0,4.9,1.9,87.5,7,1,14.3,13.4,9.1,2.2,4,6.5
68,15534,Adam Thielen,CAR,WR,62,48,615,5,4.8,1.5,120.0,8,4,50.0,12.8,9.9,2.6,2,3.2
69,18880,Chris Godwin,TB,WR,62,50,576,5,5.1,1.8,100.0,10,5,50.0,11.5,9.3,2.4,1,1.6
70,24119,Andrei Iosivas,CIN,WR,61,36,479,6,5.0,1.4,81.8,14,7,50.0,13.3,7.8,0.8,4,6.5
71,20145,Allen Lazard,NYJ,WR,61,37,530,6,3.9,1.1,92.5,9,6,66.7,14.3,8.7,1.3,5,8.2
72,21734,Nick Westbrook-Ikhine,TEN,WR,60,32,497,9,5.0,1.1,91.4,16,8,50.0,15.5,8.3,1.2,2,3.3
73,25098,Jalen McMillan,TB,WR,58,37,461,8,5.7,1.7,90.2,10,3,30.0,12.4,7.9,1.2,0,0.0
74,22566,Calvin Austin III,PIT,WR,58,36,548,4,5.1,1.4,87.8,9,4,44.4,15.2,9.4,1.5,4,6.9
75,17986,Tyler Boyd,TEN,WR,57,39,390,0,5.0,1.4,95.1,12,7,58.3,10.0,6.8,0.9,1,1.8
76,19120,David Moore,CAR,WR,57,32,351,3,4.5,1.1,88.9,19,9,47.4,11.0,6.2,1.1,3,5.3
77,24964,Keon Coleman,BUF,WR,57,29,556,4,4.5,1.1,74.3,17,4,23.5,19.2,9.8,1.8,5,8.8
78,19080,Noah Brown,WAS,WR,56,35,453,1,5.8,1.4,94.6,11,3,27.3,12.9,8.1,1.8,2,3.6
79,25198,Devaughn Vele,DEN,WR,55,41,475,3,5.2,1.5,102.5,7,4,57.1,11.6,8.6,1.6,2,3.6
80,24954,Adonai Mitchell,IND,WR,55,23,312,0,5.3,1.3,82.1,5,0,0.0,13.6,5.7,1.5,2,3.6
81,16568,Brandin Cooks,DAL,WR,54,26,259,3,4.7,1.1,89.7,13,3,23.1,10.0,4.8,0.9,0,0.0
82,23395,Christian Watson,GB,WR,53,29,620,2,4.8,1.1,85.3,14,5,35.7,21.4,11.7,2.5,2,3.8
83,24973,Troy Franklin,DEN,WR,52,28,263,2,5.5,2.0,87.5,6,0,0.0,9.4,5.0,1.0,2,3.8
84,23165,Marvin Mims Jr.,DEN,WR,52,39,503,6,4.7,2.7,95.1,4,2,50.0,12.9,9.7,2.9,2,3.8
85,24068,KaVontae Turpin,DAL,WR,52,31,420,2,4.5,1.8,81.6,6,2,33.3,13.5,8.1,2.2,3,5.8
86,24143,Parker Washington,JAX,WR,51,32,390,3,5.0,1.8,88.9,8,3,37.5,12.2,7.6,1.1,3,5.9
87,17961,Sterling Shepard,TB,WR,51,32,334,1,5.7,1.6,94.1,10,5,50.0,10.4,6.5,1.1,2,3.9
88,21071,Greg Dortch,ARI,WR,50,37,342,3,5.8,1.8,94.9,4,2,50.0,9.2,6.8,1.3,2,4.0
89,19023,Mack Hollins,BUF,WR,50,31,378,5,5.6,1.5,91.2,9,2,22.2,12.2,7.6,1.1,0,0.0
90,24348,Cedric Tillman,CLE,WR,49,29,339,3,4.9,1.7,90.6,7,3,42.9,11.7,6.9,1.3,2,4.1
91,19815,Christian Kirk,JAX,WR,47,27,379,1,5.9,1.5,84.4,9,1,11.1,14.0,8.1,1.8,1,2.1
92,21747,Brandon Aiyuk,SF,WR,47,25,374,0,3.9,1.2,89.3,11,4,36.4,15.0,8.0,1.8,5,10.6
93,18928,Curtis Samuel,BUF,WR,46,31,253,1,5.1,2.1,100.0,9,4,44.4,8.2,5.5,1.2,0,0.0
94,24982,Ricky Pearsall,SF,WR,46,31,400,3,3.9,0.8,182.3,5,2,40.0,12.9,8.7,1.9,0,0.0
95,25122,Jalen Coker,CAR,WR,46,32,478,2,5.3,1.6,94.1,12,5,41.7,14.9,10.4,1.8,0,0.0
96,20816,Lil'Jordan Humphrey,DEN,WR,45,31,293,1,5.0,1.6,96.9,4,2,50.0,9.4,6.5,1.1,1,2.2
97,19976,Marquez Valdes-Scantling,NO,WR,44,19,411,4,5.5,1.2,76.0,6,1,16.7,21.6,9.3,1.5,1,2.3
